"","iteration","proportion","scale","type","results"
"1",1,0,1,"freq",1
"2",1,0,1,"freq_plugin",1
"3",1,0,1,"freq_ols",1
"4",1,0,1,"freq_fix",1
"5",1,0,1,"width",0.0218187201199849
"6",1,0,1,"width_plugin",0.0167284929474801
"7",1,0,1,"width_ols",0.367018970972504
"8",1,0,1,"width_fix",0.0218187201199849
"9",1,0,10,"freq",1
"10",1,0,10,"freq_plugin",1
"11",1,0,10,"freq_ols",0
"12",1,0,10,"freq_fix",1
"13",1,0,10,"width",0.022448450134659
"14",1,0,10,"width_plugin",0.0177080025867986
"15",1,0,10,"width_ols",0.185357071291197
"16",1,0,10,"width_fix",0.022448450134659
"17",1,0,100,"freq",1
"18",1,0,100,"freq_plugin",1
"19",1,0,100,"freq_ols",1
"20",1,0,100,"freq_fix",1
"21",1,0,100,"width",0.0214702205656089
"22",1,0,100,"width_plugin",0.0188492242447842
"23",1,0,100,"width_ols",0.191713692020261
"24",1,0,100,"width_fix",0.0214702205656089
"25",1,0.000790569415042095,1,"freq",1
"26",1,0.000790569415042095,1,"freq_plugin",1
"27",1,0.000790569415042095,1,"freq_ols",1
"28",1,0.000790569415042095,1,"freq_fix",1
"29",1,0.000790569415042095,1,"width",0.0199441077176992
"30",1,0.000790569415042095,1,"width_plugin",0.0166469042215285
"31",1,0.000790569415042095,1,"width_ols",0.205586570075398
"32",1,0.000790569415042095,1,"width_fix",0.0223818410075445
"33",1,0.000790569415042095,10,"freq",1
"34",1,0.000790569415042095,10,"freq_plugin",1
"35",1,0.000790569415042095,10,"freq_ols",1
"36",1,0.000790569415042095,10,"freq_fix",1
"37",1,0.000790569415042095,10,"width",0.0221731590617483
"38",1,0.000790569415042095,10,"width_plugin",0.0182312666879098
"39",1,0.000790569415042095,10,"width_ols",0.312585641210744
"40",1,0.000790569415042095,10,"width_fix",0.0247920047269496
"41",1,0.000790569415042095,100,"freq",1
"42",1,0.000790569415042095,100,"freq_plugin",1
"43",1,0.000790569415042095,100,"freq_ols",1
"44",1,0.000790569415042095,100,"freq_fix",1
"45",1,0.000790569415042095,100,"width",0.0227722986576254
"46",1,0.000790569415042095,100,"width_plugin",0.0193316595473761
"47",1,0.000790569415042095,100,"width_ols",0.217152504809401
"48",1,0.000790569415042095,100,"width_fix",0.0255515952395212
"49",1,0.00158113883008419,1,"freq",1
"50",1,0.00158113883008419,1,"freq_plugin",1
"51",1,0.00158113883008419,1,"freq_ols",1
"52",1,0.00158113883008419,1,"freq_fix",1
"53",1,0.00158113883008419,1,"width",0.0222012668177982
"54",1,0.00158113883008419,1,"width_plugin",0.0182101836056902
"55",1,0.00158113883008419,1,"width_ols",0.0875152007261056
"56",1,0.00158113883008419,1,"width_fix",0.0278269472172165
"57",1,0.00158113883008419,10,"freq",1
"58",1,0.00158113883008419,10,"freq_plugin",1
"59",1,0.00158113883008419,10,"freq_ols",1
"60",1,0.00158113883008419,10,"freq_fix",1
"61",1,0.00158113883008419,10,"width",0.021973246111848
"62",1,0.00158113883008419,10,"width_plugin",0.0187788817172555
"63",1,0.00158113883008419,10,"width_ols",0.130229968681447
"64",1,0.00158113883008419,10,"width_fix",0.02742965035143
"65",1,0.00158113883008419,100,"freq",1
"66",1,0.00158113883008419,100,"freq_plugin",1
"67",1,0.00158113883008419,100,"freq_ols",0
"68",1,0.00158113883008419,100,"freq_fix",1
"69",1,0.00158113883008419,100,"width",0.0213261618200715
"70",1,0.00158113883008419,100,"width_plugin",0.0179004466587919
"71",1,0.00158113883008419,100,"width_ols",0.14298192067562
"72",1,0.00158113883008419,100,"width_fix",0.0266281057636519
"73",1,0.00237170824512628,1,"freq",1
"74",1,0.00237170824512628,1,"freq_plugin",1
"75",1,0.00237170824512628,1,"freq_ols",1
"76",1,0.00237170824512628,1,"freq_fix",1
"77",1,0.00237170824512628,1,"width",0.0203018910521189
"78",1,0.00237170824512628,1,"width_plugin",0.0179170473044604
"79",1,0.00237170824512628,1,"width_ols",0.192440894940123
"80",1,0.00237170824512628,1,"width_fix",0.0285439175552844
"81",1,0.00237170824512628,10,"freq",1
"82",1,0.00237170824512628,10,"freq_plugin",1
"83",1,0.00237170824512628,10,"freq_ols",1
"84",1,0.00237170824512628,10,"freq_fix",1
"85",1,0.00237170824512628,10,"width",0.02124976668689
"86",1,0.00237170824512628,10,"width_plugin",0.0187471205657226
"87",1,0.00237170824512628,10,"width_ols",0.122792182252737
"88",1,0.00237170824512628,10,"width_fix",0.0297734155548022
"89",1,0.00237170824512628,100,"freq",1
"90",1,0.00237170824512628,100,"freq_plugin",1
"91",1,0.00237170824512628,100,"freq_ols",0
"92",1,0.00237170824512628,100,"freq_fix",1
"93",1,0.00237170824512628,100,"width",0.018007913431051
"94",1,0.00237170824512628,100,"width_plugin",0.0170599493747353
"95",1,0.00237170824512628,100,"width_ols",0.179892912356443
"96",1,0.00237170824512628,100,"width_fix",0.0259121572777827
"97",1,0.00316227766016838,1,"freq",1
"98",1,0.00316227766016838,1,"freq_plugin",1
"99",1,0.00316227766016838,1,"freq_ols",1
"100",1,0.00316227766016838,1,"freq_fix",1
"101",1,0.00316227766016838,1,"width",0.0218895735576831
"102",1,0.00316227766016838,1,"width_plugin",0.0186514220171471
"103",1,0.00316227766016838,1,"width_ols",0.287621984630908
"104",1,0.00316227766016838,1,"width_fix",0.0334552228530699
"105",1,0.00316227766016838,10,"freq",1
"106",1,0.00316227766016838,10,"freq_plugin",1
"107",1,0.00316227766016838,10,"freq_ols",1
"108",1,0.00316227766016838,10,"freq_fix",1
"109",1,0.00316227766016838,10,"width",0.0217087036126548
"110",1,0.00316227766016838,10,"width_plugin",0.0193871553777689
"111",1,0.00316227766016838,10,"width_ols",0.161681909794632
"112",1,0.00316227766016838,10,"width_fix",0.031509078619252
"113",1,0.00316227766016838,100,"freq",1
"114",1,0.00316227766016838,100,"freq_plugin",1
"115",1,0.00316227766016838,100,"freq_ols",0
"116",1,0.00316227766016838,100,"freq_fix",1
"117",1,0.00316227766016838,100,"width",0.0224324270293083
"118",1,0.00316227766016838,100,"width_plugin",0.0187769808508262
"119",1,0.00316227766016838,100,"width_ols",0.78342612765978
"120",1,0.00316227766016838,100,"width_fix",0.0331421110616225
"121",2,0,1,"freq",1
"122",2,0,1,"freq_plugin",1
"123",2,0,1,"freq_ols",1
"124",2,0,1,"freq_fix",1
"125",2,0,1,"width",0.022130894783353
"126",2,0,1,"width_plugin",0.0192016082192366
"127",2,0,1,"width_ols",0.257757850154106
"128",2,0,1,"width_fix",0.022130894783353
"129",2,0,10,"freq",1
"130",2,0,10,"freq_plugin",1
"131",2,0,10,"freq_ols",1
"132",2,0,10,"freq_fix",1
"133",2,0,10,"width",0.0252672844665098
"134",2,0,10,"width_plugin",0.0188165842635978
"135",2,0,10,"width_ols",0.247122641844493
"136",2,0,10,"width_fix",0.0252672844665098
"137",2,0,100,"freq",1
"138",2,0,100,"freq_plugin",1
"139",2,0,100,"freq_ols",1
"140",2,0,100,"freq_fix",1
"141",2,0,100,"width",0.0212942032261698
"142",2,0,100,"width_plugin",0.0176176078397514
"143",2,0,100,"width_ols",0.193450048563647
"144",2,0,100,"width_fix",0.0212942032261698
"145",2,0.000790569415042095,1,"freq",1
"146",2,0.000790569415042095,1,"freq_plugin",1
"147",2,0.000790569415042095,1,"freq_ols",1
"148",2,0.000790569415042095,1,"freq_fix",1
"149",2,0.000790569415042095,1,"width",0.021030713385943
"150",2,0.000790569415042095,1,"width_plugin",0.0183931304135837
"151",2,0.000790569415042095,1,"width_ols",0.151360055035011
"152",2,0.000790569415042095,1,"width_fix",0.0237449615761128
"153",2,0.000790569415042095,10,"freq",1
"154",2,0.000790569415042095,10,"freq_plugin",1
"155",2,0.000790569415042095,10,"freq_ols",0
"156",2,0.000790569415042095,10,"freq_fix",1
"157",2,0.000790569415042095,10,"width",0.020810763403405
"158",2,0.000790569415042095,10,"width_plugin",0.0176120187116967
"159",2,0.000790569415042095,10,"width_ols",0.179288015522222
"160",2,0.000790569415042095,10,"width_fix",0.0235574969137295
"161",2,0.000790569415042095,100,"freq",1
"162",2,0.000790569415042095,100,"freq_plugin",0
"163",2,0.000790569415042095,100,"freq_ols",1
"164",2,0.000790569415042095,100,"freq_fix",1
"165",2,0.000790569415042095,100,"width",0.0216836823637611
"166",2,0.000790569415042095,100,"width_plugin",0.0175632360985554
"167",2,0.000790569415042095,100,"width_ols",0.513492963450263
"168",2,0.000790569415042095,100,"width_fix",0.0244796661142923
"169",2,0.00158113883008419,1,"freq",1
"170",2,0.00158113883008419,1,"freq_plugin",1
"171",2,0.00158113883008419,1,"freq_ols",1
"172",2,0.00158113883008419,1,"freq_fix",1
"173",2,0.00158113883008419,1,"width",0.0212630599516774
"174",2,0.00158113883008419,1,"width_plugin",0.0173359005931096
"175",2,0.00158113883008419,1,"width_ols",0.176940986725028
"176",2,0.00158113883008419,1,"width_fix",0.0264339167843678
"177",2,0.00158113883008419,10,"freq",1
"178",2,0.00158113883008419,10,"freq_plugin",1
"179",2,0.00158113883008419,10,"freq_ols",1
"180",2,0.00158113883008419,10,"freq_fix",1
"181",2,0.00158113883008419,10,"width",0.0211157951524176
"182",2,0.00158113883008419,10,"width_plugin",0.0169768736352514
"183",2,0.00158113883008419,10,"width_ols",0.159725567322861
"184",2,0.00158113883008419,10,"width_fix",0.0259236116640136
"185",2,0.00158113883008419,100,"freq",1
"186",2,0.00158113883008419,100,"freq_plugin",1
"187",2,0.00158113883008419,100,"freq_ols",0
"188",2,0.00158113883008419,100,"freq_fix",1
"189",2,0.00158113883008419,100,"width",0.0196736380172089
"190",2,0.00158113883008419,100,"width_plugin",0.0187680546220604
"191",2,0.00158113883008419,100,"width_ols",0.166561729848566
"192",2,0.00158113883008419,100,"width_fix",0.0253520088896724
"193",2,0.00237170824512628,1,"freq",1
"194",2,0.00237170824512628,1,"freq_plugin",1
"195",2,0.00237170824512628,1,"freq_ols",1
"196",2,0.00237170824512628,1,"freq_fix",1
