"","iteration","n","type","err"
"114",8,2500,"Huber_distr_dc",0.0242449958680934
"115",8,5000,"ols_global",0.0573186749846646
"116",8,5000,"Huber_global",0.0236140351307709
"117",8,5000,"Huber_distr_dc",0.0235701690871299
"118",8,10000,"ols_global",0.0499481223931663
"119",8,10000,"Huber_global",0.0228837710453973
"120",8,10000,"Huber_distr_dc",0.0228757316491201
"121",9,500,"ols_global",0.0575326282752791
"122",9,500,"Huber_global",0.0214429034517121
"123",9,500,"Huber_distr_dc",0.0619671399408551
"124",9,1000,"ols_global",0.0662640320694583
"125",9,1000,"Huber_global",0.0285089107759097
"126",9,1000,"Huber_distr_dc",0.0318547888731332
"127",9,2500,"ols_global",0.0528540302292204
"128",9,2500,"Huber_global",0.0220345870938781
"129",9,2500,"Huber_distr_dc",0.0220652573360798
"130",9,5000,"ols_global",0.043553889103946
"131",9,5000,"Huber_global",0.0233831799507998
"132",9,5000,"Huber_distr_dc",0.0233885840912981
"133",9,10000,"ols_global",0.0599057999257202
"134",9,10000,"Huber_global",0.0256371492975518
"135",9,10000,"Huber_distr_dc",0.0257463181938508
"136",10,500,"ols_global",0.0619430902706963
"137",10,500,"Huber_global",0.0258533256058661
"138",10,500,"Huber_distr_dc",0.0533353942993528
"139",10,1000,"ols_global",0.0566405919454332
"140",10,1000,"Huber_global",0.0211511583361739
"141",10,1000,"Huber_distr_dc",0.025877701717745
"142",10,2500,"ols_global",0.0671754015298287
"143",10,2500,"Huber_global",0.0267966959591273
"144",10,2500,"Huber_distr_dc",0.0273299858682797
"145",10,5000,"ols_global",0.0604536813601387
"146",10,5000,"Huber_global",0.0235584883853554
"147",10,5000,"Huber_distr_dc",0.023526990203524
"148",10,10000,"ols_global",0.0560630622672476
"149",10,10000,"Huber_global",0.0255583511851387
"150",10,10000,"Huber_distr_dc",0.0256392380682495
"151",11,500,"ols_global",0.056244750177991
"152",11,500,"Huber_global",0.0232928449222468
"153",11,500,"Huber_distr_dc",0.0502029224561046
"154",11,1000,"ols_global",0.0695901963230731
"155",11,1000,"Huber_global",0.0215288590384108
"156",11,1000,"Huber_distr_dc",0.0219222364980135
"157",11,2500,"ols_global",0.0586126956930204
"158",11,2500,"Huber_global",0.0217807341958166
"159",11,2500,"Huber_distr_dc",0.021815379309393
"160",11,5000,"ols_global",0.0540743560672509
"161",11,5000,"Huber_global",0.0225628778657389
"162",11,5000,"Huber_distr_dc",0.0225600050389765
"163",11,10000,"ols_global",0.0508230511343271
"164",11,10000,"Huber_global",0.0230105117889435
"165",11,10000,"Huber_distr_dc",0.0229851372407269
"166",12,500,"ols_global",0.0684798928784728
"167",12,500,"Huber_global",0.0229872060435432
"168",12,500,"Huber_distr_dc",0.0486002434655693
"169",12,1000,"ols_global",0.0607936294466776
"170",12,1000,"Huber_global",0.0253948857219392
"171",12,1000,"Huber_distr_dc",0.0259602132408035
"172",12,2500,"ols_global",0.0607912752129987
"173",12,2500,"Huber_global",0.0235947166590799
"174",12,2500,"Huber_distr_dc",0.0239656312539998
"175",12,5000,"ols_global",0.0606726804519351
"176",12,5000,"Huber_global",0.0262874717803074
"177",12,5000,"Huber_distr_dc",0.0265111855576348
"178",12,10000,"ols_global",0.0540763854852759
"179",12,10000,"Huber_global",0.0260266239336464
"180",12,10000,"Huber_distr_dc",0.0260484646958739
"181",13,500,"ols_global",0.0632074439229032
"182",13,500,"Huber_global",0.0239594489060543
"183",13,500,"Huber_distr_dc",0.0537950227838516
"184",13,1000,"ols_global",0.0556963869332907
"185",13,1000,"Huber_global",0.0176674462094632
"186",13,1000,"Huber_distr_dc",0.0206252379414615
"187",13,2500,"ols_global",0.0568445198793421
"188",13,2500,"Huber_global",0.0253695656484908
"189",13,2500,"Huber_distr_dc",0.0257286863289303
"190",13,5000,"ols_global",0.0653872226745889
"191",13,5000,"Huber_global",0.0240646795369559
"192",13,5000,"Huber_distr_dc",0.0240814426497129
"193",13,10000,"ols_global",0.0549953327914165
"194",13,10000,"Huber_global",0.0261935912584806
"195",13,10000,"Huber_distr_dc",0.0262200024777926
"196",14,500,"ols_global",0.0616394667618411
"197",14,500,"Huber_global",0.0247306772346274
"198",14,500,"Huber_distr_dc",0.0559905828922773
"199",14,1000,"ols_global",0.053858101008339
"200",14,1000,"Huber_global",0.0233288567007845
"201",14,1000,"Huber_distr_dc",0.0252019088239786
"202",14,2500,"ols_global",0.0671517042455348
"203",14,2500,"Huber_global",0.0238575218852404
"204",14,2500,"Huber_distr_dc",0.0237215959313513
"205",14,5000,"ols_global",0.0578544667507368
"206",14,5000,"Huber_global",0.0263096476961667
"207",14,5000,"Huber_distr_dc",0.0262682012202133
"208",14,10000,"ols_global",0.0605226807311488
"209",14,10000,"Huber_global",0.0270639011136263
"210",14,10000,"Huber_distr_dc",0.0270195352192066
"211",15,500,"ols_global",0.0584723703599098
"212",15,500,"Huber_global",0.0235477661954179
"213",15,500,"Huber_distr_dc",0.0432663298680635
"214",15,1000,"ols_global",0.0668908897354644
"215",15,1000,"Huber_global",0.0192062528502249
"216",15,1000,"Huber_distr_dc",0.0209023679023455
"217",15,2500,"ols_global",0.0605486068231362
"218",15,2500,"Huber_global",0.0238262728361235
"219",15,2500,"Huber_distr_dc",0.0237217167586989
"220",15,5000,"ols_global",0.0560530714306511
"221",15,5000,"Huber_global",0.0243449336384278
"222",15,5000,"Huber_distr_dc",0.0244888120215504
"223",15,10000,"ols_global",0.0620015836990263
"224",15,10000,"Huber_global",0.0236848657427069
"225",15,10000,"Huber_distr_dc",0.023716700251642
"226",16,500,"ols_global",0.0427354941982544
"227",16,500,"Huber_global",0.0226638228118838
"228",16,500,"Huber_distr_dc",0.0683982416340197
"229",16,1000,"ols_global",0.0538052181770818
"230",16,1000,"Huber_global",0.0256465900305729
"231",16,1000,"Huber_distr_dc",0.0292238593035544
"232",16,2500,"ols_global",0.0509135716293236
"233",16,2500,"Huber_global",0.0223100720464584
"234",16,2500,"Huber_distr_dc",0.0224180893120816
"235",16,5000,"ols_global",0.0600270258830497
"236",16,5000,"Huber_global",0.0221941350362397
"237",16,5000,"Huber_distr_dc",0.0221817295017428
"238",16,10000,"ols_global",0.0622666784348658
"239",16,10000,"Huber_global",0.0254401321057106
"240",16,10000,"Huber_distr_dc",0.0255594558733998
"241",17,500,"ols_global",0.0610104432004921
"242",17,500,"Huber_global",0.0216692366825041
"243",17,500,"Huber_distr_dc",0.0502018712576785
"244",17,1000,"ols_global",0.0678685415504529
"245",17,1000,"Huber_global",0.022964092138796
"246",17,1000,"Huber_distr_dc",0.0250426398133074
"247",17,2500,"ols_global",0.0547050567252019
"248",17,2500,"Huber_global",0.0250381580455062
"249",17,2500,"Huber_distr_dc",0.025204574602798
"250",17,5000,"ols_global",0.0528054510409126
"251",17,5000,"Huber_global",0.022685817931752
"252",17,5000,"Huber_distr_dc",0.0225778784584265
"253",17,10000,"ols_global",0.0654125246337352
"254",17,10000,"Huber_global",0.0207681893548139
"255",17,10000,"Huber_distr_dc",0.0207992481454151
"256",18,500,"ols_global",0.0527175368134199
"257",18,500,"Huber_global",0.0239361686802996
"258",18,500,"Huber_distr_dc",0.0488759816433084
"259",18,1000,"ols_global",0.0541019997871278
"260",18,1000,"Huber_global",0.0240019629780051
"261",18,1000,"Huber_distr_dc",0.0312876672287707
"262",18,2500,"ols_global",0.0628527723141063
"263",18,2500,"Huber_global",0.0221076392479398
"264",18,2500,"Huber_distr_dc",0.0222030008020757
"265",18,5000,"ols_global",0.0554401707769571
"266",18,5000,"Huber_global",0.0225575084680616
"267",18,5000,"Huber_distr_dc",0.022589709643065
"268",18,10000,"ols_global",0.0630363899462898
"269",18,10000,"Huber_global",0.0250760320200239
"270",18,10000,"Huber_distr_dc",0.0250627810724703
"271",19,500,"ols_global",0.064622170177828
"272",19,500,"Huber_global",0.024821186934603
"273",19,500,"Huber_distr_dc",0.0435817828481273
"274",19,1000,"ols_global",0.0532044710321146
"275",19,1000,"Huber_global",0.0233399021720777
"276",19,1000,"Huber_distr_dc",0.0251358999974387
"277",19,2500,"ols_global",0.0533242190853016
"278",19,2500,"Huber_global",0.025914150707085
"279",19,2500,"Huber_distr_dc",0.0261234892309725
"280",19,5000,"ols_global",0.0469940989672341
"281",19,5000,"Huber_global",0.021389310602551
"282",19,5000,"Huber_distr_dc",0.0213544302040259
"283",19,10000,"ols_global",0.0424439418326618
"284",19,10000,"Huber_global",0.0182181107721131
"285",19,10000,"Huber_distr_dc",0.0182996338432004
"286",20,500,"ols_global",0.0450612499213748
"287",20,500,"Huber_global",0.0218652236876663
"288",20,500,"Huber_distr_dc",0.0475249374157935
"289",20,1000,"ols_global",0.0604218806989166
"290",20,1000,"Huber_global",0.0233667412318821
"291",20,1000,"Huber_distr_dc",0.0235565794672633
"292",20,2500,"ols_global",0.0533528543938778
"293",20,2500,"Huber_global",0.0200857836776137
"294",20,2500,"Huber_distr_dc",0.0201063949467902
"295",20,5000,"ols_global",0.0489788238203816
"296",20,5000,"Huber_global",0.0242318062119955
"297",20,5000,"Huber_distr_dc",0.0242550988741147
"298",20,10000,"ols_global",0.0629240440120658
"299",20,10000,"Huber_global",0.0235494283835758
"300",20,10000,"Huber_distr_dc",0.023581554916441
"301",21,500,"ols_global",0.0533746678453137
"302",21,500,"Huber_global",0.0200995178782795
"303",21,500,"Huber_distr_dc",0.042364642944266
"304",21,1000,"ols_global",0.0694207817353726
"305",21,1000,"Huber_global",0.0224970373038185
"306",21,1000,"Huber_distr_dc",0.0316027833087758
"307",21,2500,"ols_global",0.0556313623393073
"308",21,2500,"Huber_global",0.0228848567370239
"309",21,2500,"Huber_distr_dc",0.0229757050117405
"310",21,5000,"ols_global",0.0515492188985551
"311",21,5000,"Huber_global",0.0196622413430602
"312",21,5000,"Huber_distr_dc",0.0196047724233719
"313",21,10000,"ols_global",0.0621803213332754
"314",21,10000,"Huber_global",0.0224114607119643
"315",21,10000,"Huber_distr_dc",0.0224278517584895
"316",22,500,"ols_global",0.0590267481332042
"317",22,500,"Huber_global",0.024637553392207
"318",22,500,"Huber_distr_dc",0.0634374214176022
"319",22,1000,"ols_global",0.068019518051722
"320",22,1000,"Huber_global",0.0249699888784101
"321",22,1000,"Huber_distr_dc",0.0255445026817593
"322",22,2500,"ols_global",0.0567807010522356
"323",22,2500,"Huber_global",0.0215485635157885
"324",22,2500,"Huber_distr_dc",0.0216061559312402
"325",22,5000,"ols_global",0.0575414613271569
"326",22,5000,"Huber_global",0.0245096168433532
"327",22,5000,"Huber_distr_dc",0.0246425708852856
"328",22,10000,"ols_global",0.0576671638708428
"329",22,10000,"Huber_global",0.0219003338384958
"330",22,10000,"Huber_distr_dc",0.021915516061776
"331",23,500,"ols_global",0.0545876343967512
"332",23,500,"Huber_global",0.0230850568605518
"333",23,500,"Huber_distr_dc",0.043141462715375
"334",23,1000,"ols_global",0.0543648504435327
"335",23,1000,"Huber_global",0.0193567543713376
"336",23,1000,"Huber_distr_dc",0.0237297189792725
"337",23,2500,"ols_global",0.0656935849679417
"338",23,2500,"Huber_global",0.0277570121797536
"339",23,2500,"Huber_distr_dc",0.0274620780295739
"340",23,5000,"ols_global",0.0710246821962485
"341",23,5000,"Huber_global",0.0235376393903989
