"","iteration","proportion","scale","type","err"
"103",2,0.1,10,"ols_global",1.06774804289424
"104",2,0.1,10,"Huber_global",0.163644485722896
"105",2,0.1,10,"Huber_distr_dc",0.163503906952319
"106",2,0.1,100,"ols_global",9.75788339419035
"107",2,0.1,100,"Huber_global",0.160108423868854
"108",2,0.1,100,"Huber_distr_dc",0.155934662676074
"109",3,0,1,"ols_global",0.249363355704912
"110",3,0,1,"Huber_global",0.032605452430465
"111",3,0,1,"Huber_distr_dc",0.0315778180983862
"112",3,0,10,"ols_global",0.202339950007496
"113",3,0,10,"Huber_global",0.0294255623631368
"114",3,0,10,"Huber_distr_dc",0.0304798825949977
"115",3,0,100,"ols_global",0.214547368872547
"116",3,0,100,"Huber_global",0.0289266197917626
"117",3,0,100,"Huber_distr_dc",0.028720354648599
"118",3,0.02,1,"ols_global",0.529897083095709
"119",3,0.02,1,"Huber_global",0.0400066713258863
"120",3,0.02,1,"Huber_distr_dc",0.0405102273782971
"121",3,0.02,10,"ols_global",0.31023779574206
"122",3,0.02,10,"Huber_global",0.0383123146083593
"123",3,0.02,10,"Huber_distr_dc",0.0392220580656956
"124",3,0.02,100,"ols_global",2.12050941548646
"125",3,0.02,100,"Huber_global",0.0439540700630935
"126",3,0.02,100,"Huber_distr_dc",0.044084516964236
"127",3,0.04,1,"ols_global",0.168655346733118
"128",3,0.04,1,"Huber_global",0.0531303079146854
"129",3,0.04,1,"Huber_distr_dc",0.0525457846926711
"130",3,0.04,10,"ols_global",0.462668733908264
"131",3,0.04,10,"Huber_global",0.0671022560761795
"132",3,0.04,10,"Huber_distr_dc",0.0686525886786592
"133",3,0.04,100,"ols_global",3.76607447989315
"134",3,0.04,100,"Huber_global",0.0633094389206795
"135",3,0.04,100,"Huber_distr_dc",0.0627144217826978
"136",3,0.06,1,"ols_global",0.376269057003532
"137",3,0.06,1,"Huber_global",0.0842988458903449
"138",3,0.06,1,"Huber_distr_dc",0.0843296442180436
"139",3,0.06,10,"ols_global",0.95717899634986
"140",3,0.06,10,"Huber_global",0.105439437280788
"141",3,0.06,10,"Huber_distr_dc",0.105743525464962
"142",3,0.06,100,"ols_global",5.8461613308352
"143",3,0.06,100,"Huber_global",0.0960982278710131
"144",3,0.06,100,"Huber_distr_dc",0.0926087810971305
"145",3,0.08,1,"ols_global",0.577941405045118
"146",3,0.08,1,"Huber_global",0.117509555593564
"147",3,0.08,1,"Huber_distr_dc",0.117905851972497
"148",3,0.08,10,"ols_global",1.86069003678376
"149",3,0.08,10,"Huber_global",0.128509958938633
"150",3,0.08,10,"Huber_distr_dc",0.127559667729696
"151",3,0.08,100,"ols_global",7.88172305728857
"152",3,0.08,100,"Huber_global",0.130927093889877
"153",3,0.08,100,"Huber_distr_dc",0.126269663857024
"154",3,0.1,1,"ols_global",0.504021744382681
"155",3,0.1,1,"Huber_global",0.133411954702909
"156",3,0.1,1,"Huber_distr_dc",0.132982987703671
"157",3,0.1,10,"ols_global",0.994923002674388
"158",3,0.1,10,"Huber_global",0.161278841864475
"159",3,0.1,10,"Huber_distr_dc",0.163804162942572
"160",3,0.1,100,"ols_global",10.3672839319576
"161",3,0.1,100,"Huber_global",0.180245366765006
"162",3,0.1,100,"Huber_distr_dc",0.182958573017978
"163",4,0,1,"ols_global",0.216694099262705
"164",4,0,1,"Huber_global",0.026156109807756
"165",4,0,1,"Huber_distr_dc",0.0261688081330891
"166",4,0,10,"ols_global",0.350847555182254
"167",4,0,10,"Huber_global",0.0318415288381035
"168",4,0,10,"Huber_distr_dc",0.0326445443526465
"169",4,0,100,"ols_global",0.182670722762223
"170",4,0,100,"Huber_global",0.0301803596035951
"171",4,0,100,"Huber_distr_dc",0.0309041749735942
"172",4,0.02,1,"ols_global",0.325448036652729
"173",4,0.02,1,"Huber_global",0.0380346145941752
"174",4,0.02,1,"Huber_distr_dc",0.0379259714886738
"175",4,0.02,10,"ols_global",0.284733427801387
"176",4,0.02,10,"Huber_global",0.0463780164866533
"177",4,0.02,10,"Huber_distr_dc",0.0455327768485736
"178",4,0.02,100,"ols_global",2.16944042575326
"179",4,0.02,100,"Huber_global",0.040013327281359
"180",4,0.02,100,"Huber_distr_dc",0.0408845033744765
"181",4,0.04,1,"ols_global",0.496948614113517
"182",4,0.04,1,"Huber_global",0.0596561657159156
"183",4,0.04,1,"Huber_distr_dc",0.059771239690455
